Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2000-06-03 3:24,36.8N,74.8W,,,,,,3.00E+10,0.1
2000-06-02 18:44,27.5S,18.9W,,,,,,3.00E+10,0.1
2000-05-29 16:46,,,,,,,,6.00E+10,0.19
2000-05-06 11:51,49.9N,18.4E,,,,,,2.80E+10,0.098
2000-05-03 10:40,5.0S,73.0E,,,,,,5.90E+10,0.19
2000-04-21 13:42,,,,,,,,8.60E+10,0.27
2000-04-04 13:38,,,,,,,,2.30E+10,0.082
2000-03-28 15:27,1.0N,98.3E,,,,,,6.30E+10,0.2
2000-03-19 5:11,,,,,,,,4.90E+10,0.16
2000-03-06 8:29,58.0N,175.0E,,,,,,9.60E+11,2.2
2000-02-18 9:25,0.9S,109.2E,,,,,,3.62E+12,7.3
2000-02-17 14:22,14.2N,115.9E,,,,,,2.20E+10,0.079
2000-01-18 16:43,60.3N,134.6W,,,,,,1.05E+12,2.4
2000-01-18 8:33,24.3N,94.9W,,,,,,3.50E+10,0.12
1999-12-16 0:07,26.5S,11.3W,,,,,,6.70E+10,0.21
1999-12-11 17:31,,,,,,,,2.73E+11,0.74
1999-12-10 18:56,,,,,,,,2.80E+10,0.098
1999-12-03 17:24,,,,,,,,4.20E+10,0.14
1999-12-01 19:38,,,,,,,,2.30E+10,0.082
1999-11-30 2:18,,,,,,,,4.50E+10,0.15
1999-11-15 20:01,8.1S,75.4E,,,,,,7.40E+10,0.23
1999-11-07 17:53,2.3S,77.4W,,,,,,8.90E+10,0.27
1999-10-26 17:19,13.7N,70.8W,,,,,,8.60E+10,0.27
1999-09-08 23:55,22.4N,0.2E,,,,,,2.80E+10,0.098
1999-09-08 14:41,32.5N,104.6E,32,,,,,9.00E+10,0.28
1999-08-16 5:18,35.0N,107.2W,,,,,,3.60E+10,0.12
1999-08-06 3:22,,,,,,,,6.80E+10,0.22
1999-08-03 18:25,64.7S,18.8W,,,,,,3.56E+11,0.93
1999-07-10 8:11,37.8S,39.6E,52,,,,,3.26E+11,0.86
1999-07-07 4:14,39.5S,174.4E,,,,,,1.40E+11,0.41
1999-06-25 6:27,50.0N,121.0E,69,,,,,1.24E+11,0.37
1999-05-23 7:02,16.4S,116.3W,,,,,,2.60E+10,0.092
1999-04-26 11:33,22.5S,6.5E,,,,,,9.20E+10,0.28
1999-04-26 9:49,32.8S,159.1E,,,,,,3.30E+10,0.11
1999-03-31 23:54,17.9S,22.6E,,,,,,2.34E+11,0.64
1999-03-28 15:37,0.8N,97.6E,,,,,,3.04E+11,0.81
1999-03-02 22:23,18.9N,50.5E,,,,,,5.90E+10,0.19
1999-02-18 23:15,54.9S,64.6W,,,,,,1.54E+11,0.44
1999-02-01 14:24,80.0N,154.2E,,,,,,2.80E+10,0.098
1999-01-19 2:32,7.9N,85.8E,,,,,,2.40E+10,0.086
1999-01-14 8:06,44.0S,129.7W,32,,,,,5.06E+12,9.8
1999-01-12 19:24,,,,,,,,4.30E+10,0.14
1999-01-11 5:18,,,,,,,,2.40E+10,0.086
1999-01-02 18:25,47.0N,103.0E,65,,,,,3.50E+10,0.12
1998-12-22 9:24,,,,,,,,2.70E+10,0.095
1998-11-23 20:20,82.3N,160.1E,,,,,,2.50E+10,0.089
1998-11-11 16:46,6.5N,156.4E,,,,,,6.56E+11,1.6
1998-10-03 12:58,,,,,,,,3.20E+10,0.11
1998-09-04 9:16,,,,,,,,1.28E+11,0.38
1998-09-01 11:15,34.6N,23.6E,,,,,,2.40E+10,0.086
1998-08-30 0:20,,,,,,,,4.10E+10,0.14
1998-08-08 12:55,,,,,,,,2.30E+10,0.082
1998-07-28 14:16,,,,,,,,6.30E+10,0.2
1998-03-24 9:08,,,,,,,,2.70E+10,0.095
1998-03-22 22:25,1.4N,26.6E,,,,,,1.40E+11,0.41
1998-01-08 16:10,,,,,,,,6.20E+10,0.2
1998-01-04 23:00,35.1S,33.4E,30,17.1,6,-10.6,12,7.40E+10,0.23
1997-12-28 3:58,23.1S,152.4E,,,,,,3.10E+10,0.11
1997-12-09 8:15,62.7N,49.9W,,,,,,2.70E+11,0.73
1997-11-07 7:46,57.3S,167.2E,,,,,,8.00E+11,1.9
1997-10-09 18:47,31.8N,106.0W,37,,,,,1.90E+11,0.53
1997-10-01 14:26,46.7N,108.9E,,,,,,6.20E+10,0.2
1997-09-30 12:31,38.1S,63.9E,,,,,,2.30E+10,0.082
1997-09-05 11:41,31.1S,56.4E,,,,,,1.90E+11,0.53
1997-08-20 17:16,,,,,,,,2.60E+10,0.092
1997-08-15 1:05,,,,,,,,2.20E+10,0.079
1997-07-30 3:01,,,,,,,,5.00E+10,0.16
1997-07-04 12:22,15.8S,175.8W,,,,,,2.70E+10,0.095
1997-05-22 8:30,,,,,,,,4.50E+10,0.15
1997-04-27 22:34,16.7N,87.5E,,,,,,3.25E+11,0.86
1997-02-19 4:31,16.3S,87.7W,,,,,,1.40E+11,0.41
1997-02-15 15:23,35.5N,115.6E,,,,,,1.50E+11,0.43
1997-02-06 18:28,,,,,,,,2.60E+10,0.092
1997-01-28 17:49,,,,,,,,2.40E+10,0.086
1997-01-23 10:03,15.0S,94.2E,,,,,,2.70E+11,0.73
1997-01-22 21:13,32.2N,29.0E,,,,,,4.80E+11,1.2
1997-01-04 6:46,25.7N,5.3W,,,,,,4.30E+10,0.14
1997-01-03 15:08,,,,,,,,3.50E+11,0.92
1996-12-17 4:16,34.1N,37.2W,,,,,,4.10E+10,0.14
1996-12-10 6:09,,,,,,,,2.50E+11,0.68
1996-12-04 17:00,,,,,,,,4.90E+10,0.16
1996-12-01 13:19,,,,,,,,6.20E+10,0.2
1996-11-22 10:06,,,,,,,,6.80E+10,0.22
1996-11-08 16:02,,,,,,,,6.10E+10,0.2
1996-10-30 12:48,2.1S,123.1W,,,,,,2.10E+10,0.076
1996-10-28 4:46,27.4N,79.4W,,,,,,4.30E+10,0.14
1996-10-23 8:28,47.3S,20.6E,,,,,,4.40E+10,0.15
1996-10-19 19:01,29.7N,34.7W,,,,,,1.30E+11,0.38
1996-10-07 17:43,,,,,,,,4.50E+10,0.15
1996-10-05 19:21,49.6S,145.9E,,,,,,2.50E+11,0.68
1996-08-17 15:46,,,,,,,,3.40E+10,0.12
1996-08-15 16:07,,,,,,,,8.40E+10,0.26
1996-08-09 18:14,,,,,,,,3.00E+10,0.1
1996-08-07 3:16,,,,,,,,1.50E+11,0.43
1996-08-06 4:50,,,,,,,,1.30E+11,0.38
1996-08-05 19:27,,,,,,,,2.20E+11,0.61
1996-08-05 15:19,,,,,,,,8.00E+10,0.25
1996-07-17 3:16,31.8N,111.4E,,,,,,5.00E+10,0.16
1996-07-12 14:04,20.7N,93.6W,,,,,,3.20E+10,0.11
1996-06-25 11:22,,,,,,,,2.10E+10,0.076
1996-05-08 1:02,,,,,,,,2.80E+10,0.098
1996-05-01 13:19,,,,,,,,3.50E+10,0.12
1996-03-31 0:53,,,,,,,,2.70E+10,0.095
1996-03-30 4:03,31.1S,84.3W,,,,,,1.20E+11,0.36
1996-03-29 20:30,21.5N,158.1W,,,,,,1.28E+11,0.38
1996-03-25 17:00,,,,,,,,4.40E+10,0.15
1996-03-13 8:31,,,,,,,,2.30E+11,0.63
1996-02-16 7:03,,,,,,,,5.50E+10,0.18
1996-02-15 2:38,76.0N,127.0W,,,,,,5.00E+10,0.16
1996-01-18 17:10,,,,,,,,1.20E+11,0.36
1996-01-15 13:44,59.8S,175.8E,,,,,,2.60E+11,0.71
1995-12-27 12:55,,,,,,,,2.20E+10,0.079
1995-12-22 13:26,70.2S,73.3W,,,,,,4.50E+11,1.1
1995-12-09 19:54,2.9S,79.0W,,,,,,1.20E+11,0.36
1995-11-25 5:29,,,,,,,,2.90E+10,0.1
1995-11-13 3:10,,,,,,,,2.10E+10,0.076
1995-10-01 2:42,,,,,,,,3.50E+10,0.12
1995-09-09 7:38,,,,,,,,5.00E+11,1.3
1995-08-24 21:54,,,,,,,,1.20E+11,0.36
1995-08-17 16:39,,,,,,,,1.60E+11,0.46
1995-08-06 4:38,,,,,,,,5.50E+10,0.18
1995-08-05 17:14,11.6N,104.3W,,,,,,2.00E+11,0.56
1995-07-11 18:38,28.5S,93.3E,,,,,,1.30E+11,0.38
1995-07-09 18:20,0.9S,66.3E,,,,,,2.50E+10,0.089
1995-07-07 17:33,40.2N,76.1W,,,,,,1.40E+11,0.41
1995-06-09 9:28,,,,,,,,2.50E+10,0.089
1995-04-02 12:32,,,,,,,,2.50E+10,0.089
1995-02-16 13:05,16.7N,141.7W,,,,,,6.00E+10,0.19
1995-01-18 10:17,51.5N,115.4E,,,,,,7.00E+10,0.22
1995-01-10 21:08,,,,,,,,2.50E+10,0.089
1995-01-02 20:41,,,,,,,,3.00E+10,0.1
1994-12-18 12:45,,,,,,,,5.00E+10,0.16
1994-12-16 9:41,42.2S,27.6E,,,,,,5.00E+10,0.16
1994-11-03 20:01,6.5N,89.0E,,,,,,2.35E+12,5
1994-11-01 6:50,1.5S,84.5W,,,,,,1.00E+12,2.3
1994-10-27 4:21,,,,,,,,3.20E+11,0.85
1994-10-20 0:11,45.2S,1.9W,,,,,,8.70E+10,0.27
1994-10-08 3:24,,,,,,,,6.60E+10,0.21
1994-09-22 4:22,,,,,,,,6.70E+10,0.21
1994-08-15 23:16,,,,,,,,1.64E+11,0.47
1994-06-15 0:02,45.0N,73.5W,,,,,,4.10E+10,0.14
1994-06-03 20:48,,,,,,,,5.09E+11,1.3
1994-05-29 9:30,52.8N,2.3E,,,,,,3.84E+11,1
1994-02-01 22:38,2.7N,164.1E,,,,,,1.82E+13,30
1993-11-29 17:48,26.5N,78.3E,,,,,,2.60E+10,0.092
1993-10-31 3:39,51.3N,100.9W,,,,,,4.00E+10,0.13
1991-10-04 9:22,78.7N,6.3E,,,,,,5.50E+11,1.4
1990-10-01 3:51,7.5N,142.8E,,,,,,2.50E+12,5.2
1988-04-15 3:03,4.1S,124.3E,,,,,,7.58E+12,14
