Peak Brightness Date/Time (UT),Latitude (deg.),Longitude (deg.),Altitude (km),Velocity (km/s),vx,vy,vz,Total Radiated Energy (J),Calculated Total Impact Energy (kt)
2017-10-15 4:33,65.2S,128.2E,24.1,15.9,9.5,-8.3,9.7,3.30E+10,0.11
2017-10-09 12:51,18.3S,64.1W,,,,,,3.00E+10,0.1
2017-10-04 12:07,28.1N,99.4E,37,14.6,-8.5,-9,7.8,1.92E+11,0.54
2017-09-05 5:11,49.3N,116.9W,36,14.7,12.7,-6.1,-4.2,3.80E+10,0.13
2017-07-31 22:01,24.7N,118.5W,,,,,,5.80E+10,0.19
2017-07-23 6:12,6.6S,69.7W,38,17.2,-0.4,8.7,-14.8,3.50E+10,0.12
2017-07-13 9:30,23.1N,60.7E,35,13.7,-10,-6.5,-6.8,7.30E+10,0.23
2017-06-30 14:26,34.3S,134.5E,20,15.2,10.9,-9.7,4.2,9.40E+10,0.29
2017-06-23 20:21,57.0N,143.7E,35.1,24.3,17.7,13.1,-10.3,1.84E+11,0.52
2017-06-20 13:41,54.2S,133.0E,33.3,13.6,8.7,-5.7,8.8,6.36E+11,1.6
2017-05-24 7:03,9.1S,101.8E,46,18.4,-6.5,-16.5,-5,9.00E+10,0.28
2017-05-22 17:44,49.6S,157.6W,33,,,,,3.50E+10,0.12
2017-05-14 9:30,26.0S,32.4E,33,,,,,3.50E+10,0.12
2017-04-30 21:28,25.7S,56.2E,32.4,21.5,-13.4,-14.2,8.9,1.50E+11,0.43
2017-03-11 4:51,28.3N,60.2W,28,,,,,1.26E+12,2.9
2017-03-09 4:16,40.5N,18.0W,23,36.5,-15.3,25.8,-20.8,4.00E+11,1
2017-03-08 22:21,26.1S,174.9E,37,,,,,7.20E+10,0.23
2017-02-25 1:22,29.5N,13.5E,25.4,12.2,-7.6,-9.3,2.2,6.50E+10,0.21
2017-02-22 18:47,50.7S,66.0W,,,,,,3.80E+10,0.13
2017-02-18 19:48,6.2N,60.4E,38,24.2,-6.6,-22.7,-5.3,2.95E+11,0.79
2017-02-07 17:37,27.4S,14.8W,54,,,,,2.00E+10,0.073
2017-02-06 6:09,10.4N,131.6E,33.5,,,,,6.60E+10,0.21
2016-12-23 3:29,21.3N,49.3E,42,29.7,-22.4,16.4,-10.5,3.80E+10,0.13
2016-12-07 4:51,34.5S,126.6W,,,,,,1.17E+11,0.35
2016-11-29 8:05,30.6S,93.1W,,,,,,3.10E+10,0.11
2016-11-24 14:10,15.2S,80.3E,30.6,17.4,9.1,-11.2,9.7,1.38E+11,0.4
2016-11-03 17:14,39.6S,16.3W,37,,,,,7.60E+10,0.24
2016-10-01 20:23,36.2N,6.7E,27.8,14.2,-10,3.9,-9.3,3.10E+10,0.11
2016-09-22 4:57,51.8S,178.5E,40,17.5,-2.5,-3.3,17,7.10E+10,0.22
2016-09-14 15:01,3.5S,44.6E,54,18.3,3.5,-16.2,7.7,7.60E+10,0.24
2016-08-27 21:45,56.9S,162.2E,42,,,,,1.42E+11,0.41
2016-08-11 5:59,43.7S,53.8E,34.3,14.9,-0.7,-11.4,9.6,1.84E+11,0.52
2016-08-05 18:02,46.4N,171.6E,32.4,,,,,1.21E+11,0.36
2016-07-21 0:48,7.8N,1.6W,37,,,,,4.50E+10,0.15
2016-07-05 1:24,1.0N,48.6E,38.2,25.1,-10.3,-2,-22.8,1.53E+11,0.44
2016-06-27 10:02,15.8N,11.9W,33.3,29.1,-29.1,1.5,0.7,4.58E+11,1.2
2016-06-05 6:12,17.4S,138.3E,28.7,14.5,6,-11.9,5.7,3.31E+11,0.87
2016-06-02 10:56,33.8N,110.9W,,,,,,1.72E+11,0.49
2016-05-29 12:14,10.2N,48.8W,32,,,,,6.90E+10,0.22
2016-05-20 11:59,32.8S,15.1E,30.6,20.8,5.4,-9.9,17.5,2.00E+10,0.073
2016-05-16 10:09,3.2N,6.6E,41.7,12.2,-6.7,-3.3,-9.6,5.19E+11,1.3
2016-05-13 0:34,26.2N,122.3W,33,,,,,1.01E+11,0.31
2016-04-24 5:39,9.8N,42.8W,50,,,,,1.46E+11,0.42
2016-04-18 11:59,20.7N,14.5W,31.5,17.1,-3.5,2.2,-16.6,2.24E+11,0.62
2016-04-12 9:51,38.3N,162.2E,,,,,,2.00E+10,0.073
2016-04-10 14:57,22.0N,149.0E,35.2,15.1,4.7,-12.9,-6.4,6.55E+11,1.6
2016-03-16 23:54,49.2S,6.3W,42,13.3,-7.6,9.1,6,3.20E+10,0.11
2016-03-03 1:32,48.0S,51.0E,31.8,11.7,4.8,-7.1,7.9,5.80E+10,0.19
2016-02-23 3:59,32.3N,67.2E,44,17.9,-8.5,-1.6,-15.7,3.50E+10,0.12
2016-02-21 5:58,36.5N,37.2W,32,,,,,3.69E+11,0.96
2016-02-19 8:15,0.7N,11.6W,39.4,15.5,-14.9,-0.5,4.1,2.02E+11,0.56
2016-02-06 13:55,30.4S,25.5W,31,15.6,2.7,14.5,5,6.85E+12,13
2016-01-27 9:59,45.8S,53.6E,37,11.5,-10,-4.4,3.6,5.00E+10,0.16
2016-01-21 16:44,10.8S,0.7E,42.5,18.1,-3.8,-17.7,-1.2,4.60E+10,0.15
2015-12-30 13:07,33.8N,160.7W,39,,,,,2.20E+10,0.079
2015-12-21 2:32,5.9N,143.0E,42.2,12.1,6.4,-10,2.5,8.30E+10,0.26
2015-12-08 0:34,69.9S,150.5E,38,,,,,1.97E+11,0.55
2015-11-13 14:59,16.0N,124.3E,28,,,,,1.02E+11,0.31
2015-11-02 21:34,41.4S,33.0E,37,,,,,7.80E+10,0.24
2015-10-31 11:34,9.0N,138.0W,71,,,,,9.70E+10,0.29
2015-10-13 12:23,8.0S,52.5W,38.9,12.9,-6.6,3.8,10.4,2.30E+10,0.082
2015-10-11 0:07,55.4S,18.8W,,,,,,3.00E+10,0.1
2015-10-10 9:57,51.0S,21.1W,51.8,11.8,-1.3,-5.1,10.6,3.60E+10,0.12
2015-10-04 21:02,22.0N,171.6W,36.1,,,,,4.40E+10,0.15
2015-09-17 21:03,43.1S,94.9E,,,,,,9.80E+10,0.3
2015-09-14 23:50,5.8N,15.2W,,,,,,7.00E+10,0.22
2015-09-08 13:46,6.3N,29.9E,44.4,16.1,-11.5,-11.3,-0.9,2.00E+10,0.073
2015-09-07 1:41,14.5N,98.9E,29.3,21,16.8,-12,-3.8,1.80E+12,3.9
2015-09-02 20:10,39.1N,40.2E,39.8,24.1,10.3,-12.2,-18,3.70E+10,0.13
2015-07-19 7:06,20.6N,87.6W,22,17.8,9.4,13,7.8,2.30E+10,0.082
2015-07-12 22:23,31.0N,159.6E,41,,,,,2.20E+10,0.079
2015-07-04 1:40,38.6N,103.1E,46.3,49,0.9,-40.4,-27.7,5.60E+10,0.18
2015-06-14 3:03,6.3N,124.1E,32.4,31.9,-4.7,-17.8,-26,7.10E+10,0.22
